Advent of Code - Day 04
Opening file C:/Users/aforgiel/source/repos/AdventOfCode2023/AdventOfCodeDay04/input.txt => 0
Cards: 187
[001] id: 1, score: 0, numbers: 5 (1) 6 (2) 12 (1) 14 (1) 17 (1) 18 (2) 20 (2) 23 (1) 25 (1) 27 (2) 28 (1) 30 (2) 31 (1) 32 (1) 38 (2) 41 (1) 47 (1) 50 (1) 52 (1) 53 (1) 54 (1) 55 (2) 60 (1) 61 (1) 65 (2) 66 (1) 70 (2) 72 (2) 76 (1) 77 (1) 88 (1) 89 (1) 95 (1) 96 (1) 99 (1)
[002] id: 2, score: 8, numbers: 1 (1) 3 (2) 4 (1) 10 (1) 11 (1) 12 (3) 13 (1) 15 (2) 18 (2) 19 (1) 20 (3) 22 (1) 23 (1) 25 (1) 34 (2) 38 (1) 42 (1) 43 (1) 44 (1) 49 (1) 52 (1) 54 (2) 58 (3) 60 (2) 61 (1) 63 (1) 65 (1) 67 (1) 88 (1) 97 (1) 98 (3)
[003] id: 3, score: 512, numbers: 2 (3) 3 (1) 5 (1) 14 (1) 15 (1) 19 (1) 22 (1) 24 (1) 28 (1) 42 (1) 46 (3) 47 (3) 52 (1) 54 (1) 56 (3) 57 (1) 62 (3) 66 (3) 69 (1) 78 (1) 80 (3) 85 (3) 89 (3) 95 (1) 97 (3)
[004] id: 4, score: 2, numbers: 7 (1) 9 (1) 14 (2) 26 (1) 27 (1) 28 (1) 29 (2) 36 (1) 37 (2) 38 (1) 39 (1) 42 (1) 43 (1) 44 (1) 46 (3) 48 (1) 50 (1) 52 (1) 53 (2) 56 (1) 59 (2) 60 (2) 63 (1) 65 (1) 72 (1) 74 (1) 79 (1) 85 (1) 88 (2) 89 (1) 92 (1) 96 (2) 99 (3)
[005] id: 5, score: 512, numbers: 9 (3) 12 (1) 14 (1) 20 (1) 21 (1) 22 (3) 24 (1) 29 (1) 39 (1) 41 (1) 42 (3) 44 (3) 46 (3) 51 (1) 52 (1) 55 (1) 64 (1) 65 (3) 66 (1) 67 (3) 69 (1) 72 (3) 80 (1) 97 (3) 98 (3)
[006] id: 6, score: 512, numbers: 1 (1) 3 (3) 4 (1) 11 (3) 23 (3) 29 (1) 34 (1) 35 (1) 36 (1) 42 (1) 43 (1) 46 (3) 49 (1) 51 (1) 53 (3) 59 (1) 62 (1) 68 (3) 76 (1) 77 (3) 81 (3) 84 (1) 88 (3) 92 (3) 95 (1)
[007] id: 7, score: 512, numbers: 1 (1) 10 (1) 11 (3) 15 (3) 18 (3) 22 (1) 24 (3) 25 (3) 27 (1) 31 (1) 40 (1) 56 (1) 57 (1) 59 (1) 60 (3) 64 (1) 66 (3) 67 (3) 80 (1) 81 (1) 86 (1) 87 (3) 96 (3) 97 (1) 98 (1)
[008] id: 8, score: 16, numbers: 1 (1) 7 (3) 8 (1) 12 (1) 14 (2) 16 (3) 18 (2) 23 (2) 26 (1) 28 (1) 32 (1) 34 (1) 35 (1) 37 (1) 38 (3) 39 (1) 43 (1) 50 (1) 60 (2) 63 (1) 68 (1) 70 (3) 76 (3) 77 (1) 80 (1) 87 (2) 89 (1) 91 (1) 97 (1) 98 (1)
[009] id: 9, score: 512, numbers: 7 (3) 17 (1) 23 (3) 24 (3) 28 (1) 34 (3) 45 (3) 46 (1) 48 (1) 51 (1) 53 (1) 58 (1) 65 (3) 66 (3) 71 (3) 72 (3) 74 (1) 75 (3) 76 (1) 78 (1) 80 (1) 83 (1) 91 (1) 94 (1) 96 (1)
[010] id: 10, score: 256, numbers: 1 (1) 3 (3) 4 (1) 13 (1) 15 (1) 16 (3) 20 (3) 21 (3) 26 (3) 35 (1) 37 (1) 58 (1) 59 (1) 62 (1) 64 (1) 65 (3) 67 (3) 68 (1) 72 (1) 76 (1) 82 (1) 85 (1) 86 (3) 93 (1) 96 (3) 97 (2)
[011] id: 11, score: 256, numbers: 1 (3) 4 (1) 6 (1) 8 (1) 9 (1) 11 (3) 16 (1) 17 (1) 22 (3) 28 (3) 35 (2) 37 (1) 42 (3) 45 (3) 49 (1) 57 (1) 59 (1) 65 (1) 68 (1) 77 (1) 82 (3) 85 (3) 87 (3) 89 (1) 93 (1) 98 (1)
