Advent of Code - Day 07
Opening file C:/Users/aforgiel/source/repos/AdventOfCode2023/AdventOfCodeDay07/input.txt
[926] 'JJJJJ' bid: 219, type: FiveOfAKind
[959] 'AAAAJ' bid: 594, type: FourOfAKind
[559] 'AAAA3' bid: 145, type: FourOfAKind
[850] 'AAATA' bid: 704, type: FourOfAKind
[474] 'AA5AA' bid: 565, type: FourOfAKind
[298] 'AKKKK' bid: 70, type: FourOfAKind
[720] 'AQAAA' bid: 824, type: FourOfAKind
[522] 'KAAAA' bid: 731, type: FourOfAKind
[995] 'KKKK6' bid: 574, type: FourOfAKind
[948] 'KKKJK' bid: 183, type: FourOfAKind
[137] 'KKTKK' bid: 166, type: FourOfAKind
[640] 'KK8KK' bid: 572, type: FourOfAKind
[24] 'KK3KK' bid: 577, type: FourOfAKind
[664] 'K9999' bid: 112, type: FourOfAKind
[131] 'K8888' bid: 7, type: FourOfAKind
[411] 'K7KKK' bid: 906, type: FourOfAKind
[324] 'QAQQQ' bid: 556, type: FourOfAKind
[381] 'QKKKK' bid: 747, type: FourOfAKind
[695] 'QQQJQ' bid: 831, type: FourOfAKind
[60] 'QQQ8Q' bid: 711, type: FourOfAKind
[815] 'QQ3QQ' bid: 117, type: FourOfAKind
[117] 'QQ2QQ' bid: 844, type: FourOfAKind
[934] 'Q9999' bid: 179, type: FourOfAKind
[663] 'Q8888' bid: 274, type: FourOfAKind
[651] 'Q6QQQ' bid: 133, type: FourOfAKind
[766] 'Q6666' bid: 372, type: FourOfAKind
[104] 'Q5QQQ' bid: 585, type: FourOfAKind
[718] 'JJ8JJ' bid: 359, type: FourOfAKind
[725] 'JTTTT' bid: 305, type: FourOfAKind
[540] 'J9999' bid: 400, type: FourOfAKind
[437] 'J6666' bid: 239, type: FourOfAKind
[588] 'J4444' bid: 444, type: FourOfAKind
[728] 'J2222' bid: 187, type: FourOfAKind
[821] 'TTTTQ' bid: 384, type: FourOfAKind
[119] 'TT7TT' bid: 110, type: FourOfAKind
[302] 'T8888' bid: 608, type: FourOfAKind
[273] 'T4444' bid: 595, type: FourOfAKind
[984] '9999T' bid: 761, type: FourOfAKind
[641] '99969' bid: 163, type: FourOfAKind
[558] '99959' bid: 146, type: FourOfAKind
[960] '99929' bid: 864, type: FourOfAKind
[880] '99399' bid: 790, type: FourOfAKind
[508] '97999' bid: 604, type: FourOfAKind
[96] '93333' bid: 408, type: FourOfAKind
[981] '888A8' bid: 933, type: FourOfAKind
[408] '888J8' bid: 101, type: FourOfAKind
[326] '88884' bid: 385, type: FourOfAKind
[159] '88388' bid: 782, type: FourOfAKind
[911] '79777' bid: 122, type: FourOfAKind
[364] '78888' bid: 290, type: FourOfAKind
[331] '78777' bid: 719, type: FourOfAKind
[906] '777T7' bid: 136, type: FourOfAKind
[168] '7777A' bid: 135, type: FourOfAKind
[637] '7777K' bid: 254, type: FourOfAKind
[520] '7777J' bid: 404, type: FourOfAKind
[444] '77757' bid: 415, type: FourOfAKind
[993] '77747' bid: 553, type: FourOfAKind
[752] '75555' bid: 613, type: FourOfAKind
[577] '74444' bid: 683, type: FourOfAKind
[52] '72777' bid: 519, type: FourOfAKind
[387] '6T666' bid: 9, type: FourOfAKind
[607] '67777' bid: 437, type: FourOfAKind
[894] '67666' bid: 51, type: FourOfAKind
[400] '6666A' bid: 476, type: FourOfAKind
[373] '66668' bid: 919, type: FourOfAKind
[466] '66626' bid: 900, type: FourOfAKind
[92] '63333' bid: 231, type: FourOfAKind
[91] '62222' bid: 188, type: FourOfAKind
[498] '5A555' bid: 439, type: FourOfAKind
[938] '5T555' bid: 512, type: FourOfAKind
[372] '58888' bid: 875, type: FourOfAKind
[18] '55J55' bid: 141, type: FourOfAKind
[257] '55955' bid: 422, type: FourOfAKind
[336] '55585' bid: 936, type: FourOfAKind
[801] '55565' bid: 283, type: FourOfAKind
[605] '55545' bid: 143, type: FourOfAKind
[898] '4KKKK' bid: 144, type: FourOfAKind
[817] '46666' bid: 276, type: FourOfAKind
[16] '44944' bid: 660, type: FourOfAKind
[231] '444K4' bid: 962, type: FourOfAKind
[362] '44442' bid: 566, type: FourOfAKind
[179] '42222' bid: 722, type: FourOfAKind
[129] '37777' bid: 159, type: FourOfAKind
[943] '33733' bid: 313, type: FourOfAKind
[630] '333J3' bid: 672, type: FourOfAKind
[655] '33334' bid: 351, type: FourOfAKind
