Advent of Code - Day 07
Opening file C:/Users/aforgiel/source/repos/AdventOfCode2023/AdventOfCodeDay07/input.txt
[0959] 'AAAAJ' bid: 594, type: FiveOfAKind
[0948] 'KKKJK' bid: 183, type: FiveOfAKind
[0695] 'QQQJQ' bid: 831, type: FiveOfAKind
[0515] 'QQJQJ' bid: 131, type: FiveOfAKind
[0406] 'TJTTJ' bid: 609, type: FiveOfAKind
[0297] '9J99J' bid: 303, type: FiveOfAKind
[0408] '888J8' bid: 101, type: FiveOfAKind
[0889] '88J8J' bid: 297, type: FiveOfAKind
[0520] '7777J' bid: 404, type: FiveOfAKind
[1000] '6J66J' bid: 114, type: FiveOfAKind
[0018] '55J55' bid: 141, type: FiveOfAKind
[0624] '5J5J5' bid: 785, type: FiveOfAKind
[0721] '4J44J' bid: 245, type: FiveOfAKind
[0630] '333J3' bid: 672, type: FiveOfAKind
[0809] '333JJ' bid: 997, type: FiveOfAKind
[0292] '2JJ22' bid: 932, type: FiveOfAKind
[0722] 'JAJAA' bid: 407, type: FiveOfAKind
[0034] 'JAJAJ' bid: 562, type: FiveOfAKind
[0725] 'JTTTT' bid: 305, type: FiveOfAKind
[0540] 'J9999' bid: 400, type: FiveOfAKind
[0921] 'J777J' bid: 067, type: FiveOfAKind
[0448] 'J77JJ' bid: 030, type: FiveOfAKind
[0437] 'J6666' bid: 239, type: FiveOfAKind
[0710] 'J6JJ6' bid: 247, type: FiveOfAKind
[0588] 'J4444' bid: 444, type: FiveOfAKind
[0976] 'J3JJ3' bid: 066, type: FiveOfAKind
[0728] 'J2222' bid: 187, type: FiveOfAKind
[0940] 'JJKKK' bid: 937, type: FiveOfAKind
[0718] 'JJ8JJ' bid: 359, type: FiveOfAKind
[0926] 'JJJJJ' bid: 219, type: FiveOfAKind
[0559] 'AAAA3' bid: 145, type: FourOfAKind
[0850] 'AAATA' bid: 704, type: FourOfAKind
[0474] 'AA5AA' bid: 565, type: FourOfAKind
[0298] 'AKKKK' bid: 070, type: FourOfAKind
[0720] 'AQAAA' bid: 824, type: FourOfAKind
[0072] 'A99J9' bid: 771, type: FourOfAKind
[0893] 'A66J6' bid: 213, type: FourOfAKind
[0509] 'A444J' bid: 950, type: FourOfAKind
[0646] 'A333J' bid: 463, type: FourOfAKind
[0151] 'AJQQQ' bid: 533, type: FourOfAKind
[0522] 'KAAAA' bid: 731, type: FourOfAKind
[0995] 'KKKK6' bid: 574, type: FourOfAKind
[0137] 'KKTKK' bid: 166, type: FourOfAKind
[0640] 'KK8KK' bid: 572, type: FourOfAKind
[0024] 'KK3KK' bid: 577, type: FourOfAKind
[0567] 'KKJKT' bid: 339, type: FourOfAKind
[0183] 'KKJK2' bid: 064, type: FourOfAKind
[0664] 'K9999' bid: 112, type: FourOfAKind
[0131] 'K8888' bid: 007, type: FourOfAKind
[0411] 'K7KKK' bid: 906, type: FourOfAKind
