Advent of Code - Day 15
Opening file C:/Users/aforgiel/source/repos/AdventOfCode2023/AdventOfCodeDay15/input.txt
Steps: 4000
[0001] tsqxjb=8 => 65, label: tsqxjb, instruction: 2, length: 8, box: 44
[0002] hr=6 => 173, label: hr, instruction: 2, length: 6, box: 250
[0003] dtv=1 => 204, label: dtv, instruction: 2, length: 1, box: 238
[0004] chhq=8 => 9, label: chhq, instruction: 2, length: 8, box: 244
[0005] lcrbv=6 => 44, label: lcrbv, instruction: 2, length: 6, box: 153
[0006] szm- => 151, label: szm, instruction: 1, length: 0, box: 250
[0007] mx- => 82, label: mx, instruction: 1, length: 0, box: 5
[0008] xj=4 => 19, label: xj, instruction: 2, length: 4, box: 130
[0009] dmm- => 75, label: dmm, instruction: 1, length: 0, box: 110
[0010] prdgn- => 200, label: prdgn, instruction: 1, length: 0, box: 27
[0011] cnk- => 249, label: cnk, instruction: 1, length: 0, box: 60
[0012] tl=5 => 130, label: tl, instruction: 2, length: 5, box: 32
[0013] zhc- => 162, label: zhc, instruction: 1, length: 0, box: 85
[0014] xvcp=8 => 246, label: xvcp, instruction: 2, length: 8, box: 65
[0015] mpvh=5 => 253, label: mpvh, instruction: 2, length: 5, box: 59
[0016] xff=4 => 181, label: xff, instruction: 2, length: 4, box: 228
[0017] tx=6 => 223, label: tx, instruction: 2, length: 6, box: 236
[0018] vgr- => 92, label: vgr, instruction: 1, length: 0, box: 111
[0019] hkh=4 => 76, label: hkh, instruction: 2, length: 4, box: 155
[0020] zjm- => 78, label: zjm, instruction: 1, length: 0, box: 65
[0021] kfj=5 => 109, label: kfj, instruction: 2, length: 5, box: 171
[0022] gg=4 => 47, label: gg, instruction: 2, length: 4, box: 30
[0023] nltf=1 => 242, label: nltf, instruction: 2, length: 1, box: 84
[0024] hc=1 => 121, label: hc, instruction: 2, length: 1, box: 251
[0025] rsn=7 => 215, label: rsn, instruction: 2, length: 7, box: 243
[0026] hqs- => 217, label: hqs, instruction: 1, length: 0, box: 28
[0027] zsrs- => 111, label: zsrs, instruction: 1, length: 0, box: 82
[0028] qjpjv=4 => 76, label: qjpjv, instruction: 2, length: 4, box: 155
[0029] zxf=6 => 11, label: zxf, instruction: 2, length: 6, box: 152
[0030] jrt- => 173, label: jrt, instruction: 1, length: 0, box: 176
[0031] sc- => 195, label: sc, instruction: 1, length: 0, box: 102
[0032] gtnx- => 142, label: gtnx, instruction: 1, length: 0, box: 129
